Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,95,3.60,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,8,4.16,4,1,0,2,1,0,2,1.04,1,0,0,1,0,0
James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0
Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,9,1.37,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,15,1.67,8,0,5,0,2,0,3,0.33,1,0,1,0,1,0
Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,7,5.94,2,0,0,3,1,1,2,1.70,0,0,0,0,1,1
Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,8,1.18,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0
Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,70,2.88,46,0,7,10,7,0,9,0.37,4,0,1,3,1,0
Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,37,1.37,34,1,0,2,0,0,1,0.04,1,0,0,0,0,0
Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,65,3.04,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0
Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0
Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0
Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,22,3.07,16,0,0,6,0,0,3,0.42,1,0,0,2,0,0
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,18,0.78,15,0,0,3,0,0,0,0.00,0,0,0,0,0,0
Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,2,1.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,59,3.83,40,0,8,5,4,2,12,0.78,9,0,2,1,0,0
Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,56,3.50,36,3,4,4,8,1,11,0.69,6,0,3,0,2,0
Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0
Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,35,2.04,25,3,2,2,2,1,3,0.18,1,0,0,1,1,0
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,15,1.65,10,0,1,4,0,0,1,0.11,0,0,0,1,0,0
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,31,1.17,26,1,0,4,0,0,3,0.11,2,0,0,1,0,0
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,27,2.22,23,3,0,1,0,0,1,0.08,1,0,0,0,0,0
Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,4,7.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21.0,76,3.62,56,13,3,0,4,0,4,0.19,2,2,0,0,0,0
Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,59,2.49,41,1,9,4,4,0,3,0.13,2,0,0,0,1,0
Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,14,0.79,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,18,1.38,14,1,0,1,1,1,2,0.15,2,0,0,0,0,0
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.0,2,1.91,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,38,2.45,31,0,3,2,1,1,7,0.45,7,0,0,0,0,0
Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,28,1.94,21,1,0,1,2,3,2,0.14,2,0,0,0,0,0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,10,0.29,8,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,27,2.77,21,2,3,0,1,0,3,0.31,2,0,1,0,0,0
Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,23,1.93,14,2,4,1,2,0,0,0.00,0,0,0,0,0,0
Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,11,0.60,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,22,2.57,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,34,2.53,26,0,0,5,3,0,3,0.22,2,0,0,1,0,0
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,23,0.91,22,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.10,2,0,0,0,0,0
Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,36,1.41,29,1,1,3,0,2,3,0.12,2,0,1,0,0,0
Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,1,8.18,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,9,2.01,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5.0,2,0.40,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,28,1.86,18,0,3,2,2,3,5,0.33,3,0,1,1,0,0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,17,0.79,14,0,3,0,0,0,1,0.05,1,0,0,0,0,0
David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,27,1.32,23,3,0,1,0,0,4,0.20,3,0,0,1,0,0
Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,0.3,,,,,,,,,,,,,,,,
Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0
